,Kepler ID
1972,2161569
1973,2161623
1974,2161648
1975,2161731
1976,2161831
1977,2161864
1978,2161949
1979,2161974
1980,2161984
1981,2162064
1982,2162070
1983,2162073
1984,2162103
1985,2162142
1986,2162160
1987,2162241
1988,2162268
1989,2162283
1990,2162333
1991,2162355
1992,2162377
1993,2162435
1994,2162486
1995,2162543
1996,2162635
1997,2162673
1998,2162721
1999,2162904
2000,2162907
2001,2162994
2002,2163052
2003,2163101
2004,2163121
2005,2163201
2006,2163223
2007,2163226
2008,2163301
2009,2163326
2010,2163351
2011,2163434
2012,2163444
2013,2163457
2014,2163489
2015,2163554
2016,2163597
2017,2163605
2018,2163610
2019,2163612
2020,2163634
2021,2163636
2022,2163644
2023,2163666
2024,2163706
2025,2163708
2026,2163798
2027,2163808
2028,2163829
2029,2163856
2030,2163875
2031,2163894
2032,2163896
2033,2163926
2034,2163940
2035,2163957
2036,2163982
2037,2164021
2038,2164031
2039,2164035
2040,2164066
2041,2164105
2042,2164117
2043,2164123
2044,2164157
2045,2164165
2046,2164169
2047,2164190
2048,2164213
2049,2164227
2050,2164232
2051,2164262
2052,2164327
2053,2164332
2054,2164379
2055,2164488
2056,2164522
2057,2164598
2058,2164604
2059,2164654
2060,2164688
2061,2164726
2062,2164739
2063,2164772
2064,2164790
2065,2164791
2066,2164834
2067,2164874
2068,2164884
2069,2164930
2070,2164951
2071,2164995
2072,2165002
2073,2165066
2074,2165095
2075,2165181
2076,2165188
2077,2165198
2078,2165271
2079,2165352
2080,2165356
2081,2165357
2082,2165371
2083,2165440
2084,2165450
2085,2165469
2086,2165478
2087,2165516
2088,2165531
2089,2165554
2090,2165574
2091,2165589
2092,2165615
2093,2165710
2094,2165718
2095,2165722
2096,2165742
2097,2165744
2098,2165797
2099,2165801
2100,2165811
2101,2165867
2102,2165871
2103,2165874
2104,2165892
2105,2165894
2106,2165942
2107,2165983
2108,2166071
2109,2166119
2110,2166152
2111,2166200
2112,2166206
2113,2166209
2114,2166218
2115,2166223
2116,2166231
2117,2166291
2118,2166322
2119,2166332
2120,2166336
2121,2166339
2122,2166352
2123,2166371
2124,2166393
2125,2166515
2126,2166534
2127,2166547
2128,2166579
2129,2166590
2130,2166594
2131,2166605
2132,2166620
2133,2166632
2134,2166709
2135,2166766
2136,2166769
2137,2166773
2138,2166774
2139,2166860
2140,2166874
2141,2166915
2142,2166920
2143,2166932
