,kepid,kepoi_name,kepler_name,koi_disposition,koi_score (1 = planet),orbital_period (days),planet_radius(to_Earth),planet_star_dist (AU),planet_canidates,num_accecpted_koi,sun_radius (solar_radii),sun_mass (solar_mass)
1115,8009350,K01569.01,Kepler-892 b,CONFIRMED,1.0,13.75207851,2.81,22.4,1,1.0,0.6990000000000001,0.738
1116,8082001,K01570.01,Kepler-893 b,CONFIRMED,1.0,6.33855946,3.31,6.88,1,1.0,1.03,1.132
1118,9277896,K01632.01,Kepler-915 b,CONFIRMED,1.0,4.59489816,1.85,3.94,1,1.0,1.381,1.148
1119,9401997,K01633.01,Kepler-916 b,CONFIRMED,0.977,32.2964275,1.9,54.01,1,1.0,0.8909999999999999,0.8540000000000001
1120,10686864,K01637.01,Kepler-917 b,CONFIRMED,1.0,2.97041801,1.7,9.64,1,1.0,0.743,0.833
1126,9631995,K00022.01,Kepler-422 b,CONFIRMED,0.988,7.891448838,12.63,14.784,1,1.0,1.237,1.148
1128,7901948,K01511.01,Kepler-872 b,CONFIRMED,1.0,2.578852119,1.63,6.75,1,1.0,0.853,0.949
1130,6442377,K00176.01,Kepler-483 b,CONFIRMED,1.0,30.22910274,3.49,23.19,1,1.0,1.518,1.296
1134,10004519,K01572.01,Kepler-894 b,CONFIRMED,1.0,9.80321143,2.99,13.21,1,1.0,0.992,1.063
1137,10879038,K01641.01,Kepler-918 b,CONFIRMED,0.986,4.8538404,1.72,4.51,1,1.0,0.968,1.038
1138,10990917,K01643.01,Kepler-919 b,CONFIRMED,0.996,11.04605365,1.8,17.84,1,1.0,1.025,1.025
1142,9729691,K01751.01,Kepler-949 b,CONFIRMED,1.0,8.689301216,2.92,26.669,2,1.0,0.895,0.8170000000000001
